ra,dec,mjd,plate,fiberID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,class,z,w1mpro,w2mpro,w3mpro,w4mpro
20.732163,-0.1966998,57363,8790,135,22.73373,21.90624,21.29256,20.57841,19.83701,GALAXY,1.538712,15.829,14.771,10.771,7.775
20.559887,-0.68234618,57363,8790,174,23.58288,23.5894,22.20419,21.2504,20.67927,GALAXY,1.023847,16.228,15.14,11.982,8.957
21.373147,-0.47442568,57373,8791,464,24.45343,22.49307,22.26625,21.80653,21.57614,GALAXY,1.099624,17.001,16.897,12.046,8.757
21.629506,-0.7407711,57373,8791,359,24.4906,24.21179,22.70293,22.43993,21.94586,GALAXY,1.276841,16.415,15.516,12.187,8.789
21.581457,-0.57740221,57373,8791,401,24.62807,23.49118,22.76643,21.45504,20.54705,GALAXY,1.149053,16.175,15.248,11.513,8.646
20.427418,-0.76072788,57363,8790,175,24.89023,22.84847,20.59404,21.03007,20.07759,GALAXY,1.34678,15.701,14.663,10.971,8.468
21.694775,-1.2300797,57373,8791,344,23.21494,22.99643,22.505,22.39935,21.73676,GALAXY,1.348579,15.899,15.085,12.517,8.582
20.866165,-1.0679653,57363,8790,45,24.38301,22.8245,21.58154,20.78672,20.1785,GALAXY,1.281816,15.404,14.085,10.646,8.223
20.467576,-1.1987544,57363,8790,161,22.75475,22.39228,22.25952,22.4655,21.55426,GALAXY,1.521293,17.321,16.394,12.785,9.15
20.569976,-1.2370839,57363,8790,102,24.38116,23.64357,22.76508,23.4384,22.34659,GALAXY,1.211987,16.759,15.892,12.781,9.174
20.545544,21.04595,56988,7629,581,26.66288,24.54596,23.16987,21.74582,19.50095,GALAXY,1.171412,16.521,16.289,12.773,9.419
21.089606,20.756189,56988,7629,749,21.98875,22.47935,23.04723,21.70057,19.76343,GALAXY,1.082039,16.643,16.409,12.824,8.721
21.51245,19.932936,56988,7629,807,25.93055,24.01927,23.1149,21.23183,19.82157,GALAXY,1.046959,16.064,15.851,13.01,9.362
21.235973,19.887979,56988,7629,739,21.81757,23.29273,22.09095,20.72581,19.33836,GALAXY,1.565453,16.062,15.947,12.915,9.407
20.739351,19.804427,56988,7629,657,23.99209,23.54288,23.22499,21.40829,19.74576,GALAXY,1.000804,15.932,15.963,12.891,9.255
20.878642,18.74627,56988,7629,333,25.95092,24.38221,23.0357,21.21712,20.01478,GALAXY,1.058318,15.991,15.599,12.954,9.175
20.196626,4.7502219,57712,9434,821,23.65784,23.15458,22.60425,21.89245,21.91384,GALAXY,1.024937,17.358,16.612,12.282,8.666
19.686068,4.7582677,57712,9434,663,22.68467,23.72266,22.99787,21.30729,22.29987,GALAXY,1.601632,16.794,16.785,12.111,8.724
19.6956,4.426578,57712,9434,675,23.27577,22.29247,21.93474,21.09759,21.09531,GALAXY,1.001851,16.594,16.171,12.393,8.818
19.878065,4.6447215,57712,9434,749,22.62948,22.66978,21.93298,21.69651,20.99496,GALAXY,1.25653,16.29,15.693,12.224,8.721
19.918849,4.6342273,57712,9434,747,25.34273,22.02909,21.65389,20.94607,20.40843,GALAXY,1.376025,16.576,16.492,12.263,9.083
19.771409,4.3143721,57712,9434,715,25.81938,24.37064,23.28482,21.70965,21.18282,GALAXY,1.031981,17.447,17.018,11.964,8.286
19.403545,4.2845111,57712,9434,594,22.58738,22.6615,22.02202,21.52498,22.88321,GALAXY,1.06813,16.738,16.269,12.194,8.238
19.196602,4.3557219,57712,9434,548,22.967,22.15899,21.53717,20.78243,20.4276,GALAXY,1.011589,16.628,16.783,12,8.67
19.015788,4.2312184,57712,9434,554,22.71913,23.61987,22.91841,21.4464,22.00457,GALAXY,1.00826,16.609,16.063,12.388,8.779
19.828877,3.9262087,57712,9434,727,22.66937,23.45215,22.54494,22.13104,21.27268,GALAXY,1.186088,17.134,16.736,12.266,9.067
19.860456,3.9734663,57712,9434,732,23.75814,22.49816,22.24871,21.78354,20.97392,GALAXY,1.276785,16.942,15.963,12.623,8.981
20.262386,3.8148397,57712,9434,841,23.53085,23.60138,22.81803,22.24108,20.52873,GALAXY,1.043991,16.665,16.189,12.841,9.195
19.679568,3.5201101,57712,9434,359,23.49241,22.94002,22.18722,21.37816,20.97964,GALAXY,1.019267,16.491,16.246,12.587,8.618
19.257485,3.2338702,58108,9435,60,23.10655,22.67127,22.16435,21.39839,20.98075,GALAXY,1.098986,16.658,16.498,12.685,9.14
19.458286,3.1939361,58108,9435,9,24.96658,22.03495,21.67472,21.41433,20.61543,GALAXY,1.133541,16.02,15.613,12.721,8.479
19.32012,3.2708267,57712,9434,430,25.02924,23.11153,22.02288,22.09238,20.87354,GALAXY,1.323563,15.982,15.382,12.565,8.928
26.662668,-3.3136391,57711,9331,906,24.71154,22.95032,21.90001,22.00002,22.27438,GALAXY,1.146803,16.658,16.854,12.797,8.982
35.69315,-2.9456638,57331,7883,913,25.85584,24.10716,21.85562,20.67329,19.51952,GALAXY,1.070273,15.97,15.594,12.69,9.206
38.862233,-4.4124241,57336,7880,519,26.65167,24.43881,22.68295,21.10553,19.30407,GALAXY,1.157787,15.856,15.207,13.076,9.239
38.862233,-4.4124241,57282,7881,59,26.65167,24.43881,22.68295,21.10553,19.30407,GALAXY,1.156914,15.856,15.207,13.076,9.239
27.24643,-4.0688633,57711,9331,993,21.92381,21.51943,21.06333,21.85713,19.97738,GALAXY,1.23412,17.38,16.287,12.845,8.654
26.774037,-4.3474098,57711,9331,80,23.41608,22.94259,22.21002,21.97043,20.91912,GALAXY,1.213998,17.115,15.845,12.191,8.811
26.748583,-4.3089588,57711,9331,78,23.77602,22.78208,22.16822,21.75126,21.23491,GALAXY,1.056917,16.873,15.948,12.539,8.529
27.076844,-4.6489225,57711,9331,4,22.78836,22.91451,22.61915,21.79491,21.98264,GALAXY,1.509285,16.893,16.009,12.483,9.261
26.983462,-4.6291576,57711,9331,22,23.35674,23.21045,22.3629,21.45562,20.92634,GALAXY,1.023589,16.72,16.204,12.27,9.171
27.103494,-4.4268502,57711,9331,8,23.09839,22.55482,21.44156,20.60157,19.81207,GALAXY,1.476004,16.136,16.729,12.343,9.245
26.919413,-4.5682281,57711,9331,21,25.94026,23.93689,23.7836,22.51904,21.48304,GALAXY,1.03533,16.159,15.844,12.72,8.932
27.203488,-4.4610364,57711,9331,10,25.07172,22.75718,22.36469,21.97616,20.76589,GALAXY,1.261915,17.852,15.701,12.013,9.151
27.228481,-4.4601106,57711,9331,9,22.53353,22.41533,21.776,21.0611,20.22366,GALAXY,1.009142,15.947,15.563,12.474,9.23
26.942395,-4.7350041,57711,9331,58,22.23729,22.52908,22.025,21.3882,20.5707,GALAXY,1.009647,17.075,16.399,11.987,8.961
26.611691,-4.8448721,57711,9331,124,22.59658,23.23556,22.37362,21.72529,21.39928,GALAXY,1.017233,17.215,16.217,12.793,8.996
26.855099,-4.7575136,57711,9331,81,23.86,22.86222,22.39907,21.80447,20.85315,GALAXY,1.145798,16.581,16.136,12.062,9.239
25.333357,-4.0263017,57711,9331,656,23.59979,22.51106,21.18859,22.49223,22.2448,GALAXY,1.179732,16.61,16.155,12.393,8.968
